      user     system      total        real
can not process: "\r\n"
[-322, -2] => ['blk', false],
[432, 32] => ['pcm-d', false],
[440, 32] => ['pcm-d', false],
[448, 32] => ['pcm-d', false],
[40, 40] => ['pcm-d', false],
[72, 40] => ['pcm-d', false],
[80, 40] => ['pcm-d', false],
[88, 40] => ['pcm-d', false],
[96, 40] => ['pcm-d', false],
[104, 40] => ['pcm-d', false],
[112, 40] => ['pcm-d', false],
[120, 40] => ['pcm-d', false],
[184, 40] => ['pcm-d', false],
[352, 40] => ['pcm-d', false],
[416, 40] => ['pcm-d', false],
[40, 48] => ['pcm-d', false],
[72, 48] => ['pcm-d', false],
[120, 48] => ['pcm-d', false],
[184, 48] => ['pcm-d', false],
[352, 48] => ['pcm-d', false],
[416, 48] => ['pcm-d', false],
[40, 56] => ['pcm-d', false],
[72, 56] => ['pcm-d', false],
[120, 56] => ['pcm-d', false],
[184, 56] => ['pcm-d', false],
[352, 56] => ['pcm-d', false],
[416, 56] => ['pcm-d', false],
[40, 64] => ['pcm-d', false],
[72, 64] => ['pcm-d', false],
[80, 64] => ['pcm-d', false],
[88, 64] => ['pcm-e', false],
[120, 64] => ['pcm-d', false],
[184, 64] => ['pcm-d', false],
[352, 64] => ['pcm-d', false],
[416, 64] => ['pcm-d', false],
[40, 72] => ['pcm-d', false],
[120, 72] => ['pcm-d', false],
[184, 72] => ['pcm-d', false],
[352, 72] => ['pcm-d', false],
[384, 72] => ['pcm-d', false],
[392, 72] => ['pcm-d', false],
[400, 72] => ['pcm-d', false],
[408, 72] => ['pcm-d', false],
[416, 72] => ['pcm-d', false],
[40, 80] => ['pcm-d', false],
[120, 80] => ['pcm-d', false],
[184, 80] => ['pcm-d', false],
[352, 80] => ['pcm-d', false],
[416, 80] => ['pcm-d', false],
[40, 88] => ['pcm-d', false],
[120, 88] => ['pcm-d', false],
[184, 88] => ['pcm-d', false],
[352, 88] => ['pcm-d', false],
[416, 88] => ['pcm-d', false],
[8, 96] => ['pcm-d', false],
[16, 96] => ['pcm-d', false],
[24, 96] => ['pcm-d', false],
[32, 96] => ['pcm-d', false],
[40, 96] => ['pcm-d', false],
[48, 96] => ['pcm-d', false],
[56, 96] => ['pcm-d', false],
[64, 96] => ['pcm-d', false],
[72, 96] => ['pcm-d', false],
[80, 96] => ['pcm-d', false],
[88, 96] => ['pcm-d', false],
[96, 96] => ['pcm-d', false],
[104, 96] => ['pcm-d', false],
[112, 96] => ['pcm-d', false],
[120, 96] => ['pcm-d', false],
[128, 96] => ['pcm-d', false],
[136, 96] => ['pcm-d', false],
[144, 96] => ['pcm-d', false],
[152, 96] => ['pcm-d', false],
[160, 96] => ['pcm-d', false],
[168, 96] => ['pcm-d', false],
[176, 96] => ['pcm-d', false],
[184, 96] => ['pcm-d', false],
[192, 96] => ['pcm-d', false],
[200, 96] => ['pcm-d', false],
[208, 96] => ['pcm-d', false],
[216, 96] => ['pcm-d', false],
[224, 96] => ['pcm-d', false],
[232, 96] => ['pcm-d', false],
[240, 96] => ['pcm-d', false],
[248, 96] => ['pcm-d', false],
[320, 96] => ['pcm-d', false],
[328, 96] => ['pcm-d', false],
[336, 96] => ['pcm-d', false],
[344, 96] => ['pcm-d', false],
[352, 96] => ['pcm-d', false],
[360, 96] => ['pcm-d', false],
[368, 96] => ['pcm-d', false],
[376, 96] => ['pcm-d', false],
[384, 96] => ['pcm-d', false],
[392, 96] => ['pcm-d', false],
[400, 96] => ['pcm-d', false],
[408, 96] => ['pcm-d', false],
[416, 96] => ['pcm-d', false],
[424, 96] => ['pcm-d', false],
[432, 96] => ['pcm-d', false],
[440, 96] => ['pcm-d', false],
[448, 96] => ['pcm-d', false],
[8, 104] => ['pcm-d', false],
[48, 104] => ['pcm-d', false],
[136, 104] => ['pcm-d', false],
[160, 104] => ['pcm-d', false],
[248, 104] => ['pcm-d', false],
[256, 104] => ['pcm-d', false],
[264, 104] => ['pcm-d', false],
[272, 104] => ['pcm-d', false],
[296, 104] => ['pcm-d', false],
[304, 104] => ['pcm-d', false],
[312, 104] => ['pcm-d', false],
[320, 104] => ['pcm-d', false],
[400, 104] => ['pcm-d', false],
[448, 104] => ['pcm-d', false],
[8, 112] => ['pcm-d', false],
[48, 112] => ['pcm-d', false],
[136, 112] => ['pcm-d', false],
[160, 112] => ['pcm-d', false],
[248, 112] => ['pcm-d', false],
[272, 112] => ['pcm-d', false],
[296, 112] => ['pcm-d', false],
[320, 112] => ['pcm-d', false],
[400, 112] => ['pcm-d', false],
[448, 112] => ['pcm-d', false],
[8, 120] => ['pcm-e', false],
[16, 120] => ['pcm-d', false],
[24, 120] => ['pcm-d', false],
[32, 120] => ['pcm-d', false],
[40, 120] => ['pcm-d', false],
[48, 120] => ['pcm-d', false],
[56, 120] => ['pcm-d', false],
[64, 120] => ['pcm-d', false],
[72, 120] => ['pcm-d', false],
[80, 120] => ['pcm-d', false],
[88, 120] => ['pcm-d', false],
[96, 120] => ['pcm-d', false],
[104, 120] => ['pcm-d', false],
[112, 120] => ['pcm-d', false],
[120, 120] => ['pcm-d', false],
[128, 120] => ['pcm-d', false],
[136, 120] => ['pcm-d', false],
[160, 120] => ['pcm-d', false],
[168, 120] => ['pcm-d', false],
[176, 120] => ['pcm-d', false],
[184, 120] => ['pcm-d', false],
[192, 120] => ['pcm-d', false],
[200, 120] => ['pcm-d', false],
[208, 120] => ['pcm-d', false],
[216, 120] => ['pcm-d', false],
[224, 120] => ['pcm-d', false],
[232, 120] => ['pcm-d', false],
[240, 120] => ['pcm-d', false],
[248, 120] => ['pcm-d', false],
[272, 120] => ['pcm-d', true],
[296, 120] => ['pcm-d', false],
[320, 120] => ['pcm-d', false],
[328, 120] => ['pcm-d', false],
[336, 120] => ['pcm-d', false],
[344, 120] => ['pcm-d', false],
[352, 120] => ['pcm-d', false],
[360, 120] => ['pcm-d', false],
[368, 120] => ['pcm-d', false],
[376, 120] => ['pcm-d', false],
[384, 120] => ['pcm-d', false],
[392, 120] => ['pcm-d', false],
[400, 120] => ['pcm-d', false],
[408, 120] => ['pcm-d', false],
[416, 120] => ['pcm-d', false],
[424, 120] => ['pcm-d', false],
[432, 120] => ['pcm-d', false],
[440, 120] => ['pcm-d', false],
[448, 120] => ['pcm-e', false],
[280, 80] => ['pcm-f', false],
[272, 120] => ['pcm-ac', false],
[359, 120] => ['pcm-ac', false],
[178, 120] => ['pcm-ac', false],
[175, 96] => ['pcm-ac', false],
[168, 96] => ['pcm-ac', false],
  0.047000   0.000000   0.047000 (  0.094000)
